,incident_id,state,n_killed,n_injured,source_url,latitude,longitude
202259,907555,New York,0,6,http://nypost.com/2017/08/06/at-least-12-wounded-in-separate-shooting-incidents/,40.8942,-73.8489
202646,909423,Illinois,1,6,http://chicago.suntimes.com/chicago-politics/cousin-bronzeville-man-slain-in-shooting-died-protecting-the-kids/,41.8274,-87.6264
206418,924854,Illinois,2,10,http://chicago.suntimes.com/news/man-charged-with-shooting-13-year-old-girl-in-west-englewood/,41.7755,-87.6801
208787,934036,South Carolina,0,8,http://www.thestate.com/news/local/crime/article174400796.html,34.0012,-81.0383
210255,940554,Tennessee,1,8,http://www.theleafchronicle.com/story/news/2017/09/24/nashville-police-responding-shooting-antioch-church/697968001/,36.0465,-86.583
214815,966178,Alabama,2,7,http://www.ksla.com/story/36735916/lanett-police-arrest-tuskegee-man-in-connection-with-deadly-club-shooting,32.8489,-85.2056
215685,974051,Kentucky,0,6,http://www.lex18.com/story/36705445/six-teens-shot-in-louisville-neighborhood,38.2409,-85.7836
218262,986236,Indiana,0,7,http://www.nwitimes.com/news/local/crime-and-courts/man-remains-in-critical-condition-after-shooting-at-gary-nightclub/article_c601793b-f0b7-5d14-aa16-d39f614910a8.html#tracking-source=home-top-story-2,41.595,-87.2835
218991,989838,Georgia,0,7,http://www.wtvm.com/story/36862995/cpd-investigating-shooting-on-15th-st,32.4742,-84.9713
220171,994323,Mississippi,1,6,http://m.dailyleader.com/2017/11/24/victim-identified-in-fatal-overnight-shooting-suspect-considered-armed-and-dangerous/,31.5732,-90.4432
225743,1017372,Colorado,2,6,http://kdvr.com/2017/12/31/douglas-county-sheriff-responds-to-officer-down-call/,39.566,-104.945
226563,1021788,Mississippi,0,6,http://www.wdam.com/story/37205152/4-people-shot-at-hattiesburg-bar,31.3269,-89.3285
229405,1033262,Kentucky,2,14,https://www.courier-journal.com/story/news/crime/2018/01/26/kentucky-shooting-marshall-county-high-school-gabe-parker/1064880001/,36.9152,-88.3367
233122,1052035,Kansas,1,7,http://www.kansascity.com/news/local/crime/article200793979.html,39.1152,-94.6477
236261,1067061,Indiana,0,6,https://www.southbendtribune.com/news/publicsafety/six-people-injured-in-south-bend-shooting/article_8f9eb8b0-254f-11e8-8da0-83a8a5acbed1.html,41.656,-86.2393
237536,1071427,Kentucky,0,7,http://www.lex18.com/story/37800424/man-charged-in-louisville-nightclub-shooting,38.2437,-85.8012
